id,car_id,service_date,description,cost,odometer_reading
129,1832,2025-10-07,Wheel alignment,784.15,2106
130,14640,2023-05-25,Coolant system flush,837.88,45599
131,8259,2025-05-31,Headlight replacement,280.23,71230
132,12237,2023-05-28,Full detailing and cleaning,183.35,7451
133,2028,2026-03-12,Windshield wiper replacement,407.45,11477
134,11373,2024-11-21,Coolant system flush,453.16,4855
135,5004,2024-03-05,Wheel alignment,483.89,12272
136,5382,2025-07-23,Brake pad replacement,216.4,10793
137,14861,2025-07-13,Brake pad replacement,301.65,21062
138,11886,2026-03-10,Tire rotation and balancing,621.3,37202
139,9057,2024-02-16,Tire rotation and balancing,111.61,6617
140,14548,2023-04-01,Battery replacement,986.35,4020
141,11664,2025-07-06,Brake pad replacement,665.65,120970
142,8724,2025-07-28,Brake pad replacement,871.47,18067
143,7822,2022-10-30,Windshield wiper replacement,96.83,83375
144,8849,2023-04-21,Full detailing and cleaning,228.55,1258
145,13104,2022-09-01,Wheel alignment,926.44,5263
146,1929,2025-01-02,Transmission fluid flush,116.23,40652
147,5502,2024-12-07,Annual safety inspection,832.53,19338
148,6512,2022-07-11,Wheel alignment,538.82,2659
149,8325,2024-02-03,Routine oil and filter change,988.73,25979
150,5654,2024-05-07,Suspension repair,744.37,110768
151,9560,2023-02-05,Full detailing and cleaning,487.77,16421
152,13654,2025-03-09,Transmission fluid flush,309.83,1936
153,11342,2023-01-11,Wheel alignment,692.46,22892
154,11766,2024-12-01,Air conditioning service,351.05,3132
155,8819,2026-06-06,Coolant system flush,53.99,94211
156,8167,2025-12-29,Annual safety inspection,435.1,57162
157,8563,2025-04-05,Suspension repair,425.25,8516
158,4771,2023-04-03,Battery replacement,906.48,23153
159,13406,2025-06-08,Full detailing and cleaning,906.71,21649
160,14651,2022-08-20,Air conditioning service,89.12,56584
161,7342,2025-07-11,Routine oil and filter change,373.89,31288
162,5666,2026-04-09,Annual safety inspection,734.98,116760
163,7530,2024-12-10,Wheel alignment,183.25,11308
164,12921,2023-01-28,Tire rotation and balancing,224.95,4193
165,12827,2026-02-21,Annual safety inspection,488.8,61004
166,1199,2022-08-23,Full detailing and cleaning,147.77,14964
167,13646,2022-12-14,Routine oil and filter change,654.76,29633
168,6616,2022-10-23,Suspension repair,744.95,22325
169,12897,2024-02-28,Annual safety inspection,103.61,602
170,2280,2025-12-14,Spark plug replacement,874.53,102026
171,14169,2023-11-23,Coolant system flush,657.52,59838
172,10289,2024-11-25,Suspension repair,514.42,36888
173,6129,2024-03-02,Annual safety inspection,419.65,2837
174,6435,2023-12-19,Routine oil and filter change,374.48,15727
175,14674,2023-07-02,Coolant system flush,898.68,1946
176,3068,2024-08-02,Full detailing and cleaning,300.69,51313
177,6120,2026-02-19,Air conditioning service,175.42,43972
178,9893,2024-07-02,Full detailing and cleaning,583.04,34984
179,13792,2023-03-21,Spark plug replacement,612.45,10818
180,9387,2023-04-21,Routine oil and filter change,180.83,25496
181,12631,2024-06-09,Tire rotation and balancing,829.09,27281
182,610,2026-04-20,Brake pad replacement,773.31,30166
183,14073,2025-02-12,Full detailing and cleaning,354.72,10986
184,12825,2024-01-12,Coolant system flush,429.07,17985
185,6519,2024-12-30,Routine oil and filter change,650.74,13702
186,10051,2022-09-14,Engine diagnostic and tune-up,162.3,59362
187,1412,2025-07-05,Spark plug replacement,340.88,12838
188,5588,2024-03-30,Spark plug replacement,541.65,4805
189,11227,2024-02-18,Transmission fluid flush,861.24,132238
190,8381,2026-01-24,Tire rotation and balancing,812.26,10994
191,14781,2024-01-04,Wheel alignment,165.01,4484
192,14801,2023-02-23,Full detailing and cleaning,706.08,28237
193,8577,2022-12-25,Windshield wiper replacement,75.26,23139
194,4368,2024-02-06,Full detailing and cleaning,144.41,1263
195,5139,2024-09-21,Air conditioning service,377.4,124448
196,12800,2024-06-03,Engine diagnostic and tune-up,727.82,23630
197,7149,2025-10-20,Headlight replacement,40.83,14242
198,3002,2023-04-13,Brake pad replacement,160.36,10353
199,6715,2022-08-30,Brake pad replacement,308.15,26453
200,978,2023-07-27,Windshield wiper replacement,457.19,84364
201,12016,2023-08-24,Brake pad replacement,599.78,16547
202,2675,2023-12-15,Routine oil and filter change,317.09,15005
203,5650,2024-06-29,Engine diagnostic and tune-up,955.52,50317
204,5789,2022-12-18,Coolant system flush,451.44,59053
205,9946,2023-01-18,Routine oil and filter change,843.46,3406
206,14672,2025-04-26,Battery replacement,173.12,112859
207,5564,2025-10-07,Spark plug replacement,803.06,2089
208,7820,2023-11-19,Annual safety inspection,78.57,10090
209,5716,2023-11-13,Brake pad replacement,517.29,79887
210,9148,2024-12-13,Routine oil and filter change,220.63,92988
211,8140,2023-07-06,Transmission fluid flush,900.3,154261
212,5803,2023-10-31,Wheel alignment,250.84,119427
213,3798,2023-06-16,Routine oil and filter change,307.66,11307
214,5296,2022-08-21,Transmission fluid flush,479.17,53630
215,1238,2024-09-17,Suspension repair,548.1,4782
216,1841,2025-10-23,Air conditioning service,352.31,3614
217,11513,2025-10-17,Annual safety inspection,815.57,628
218,14975,2023-08-01,Transmission fluid flush,824.89,97968
219,9883,2025-12-05,Routine oil and filter change,756.34,69369
220,1751,2024-01-23,Routine oil and filter change,214.95,3529
221,3315,2025-05-17,Tire rotation and balancing,93.91,86777
222,3031,2023-12-22,Tire rotation and balancing,850.94,4505
223,12597,2026-06-14,Transmission fluid flush,148.62,24502
224,13982,2025-01-23,Air conditioning service,758.35,150988
225,9079,2025-11-10,Wheel alignment,425.37,9305
226,10465,2025-03-13,Coolant system flush,202.53,40975
227,10562,2026-01-23,Engine diagnostic and tune-up,51.82,46323
228,11017,2025-12-30,Transmission fluid flush,343.87,73666
229,11995,2022-07-30,Annual safety inspection,847.54,26258
230,5940,2026-04-24,Engine diagnostic and tune-up,433.07,104098
231,4411,2025-06-21,Brake pad replacement,762.08,6324
232,10263,2023-12-26,Tire rotation and balancing,435.36,6055
233,5733,2022-11-15,Spark plug replacement,142.12,24879
234,4557,2023-04-23,Routine oil and filter change,256.73,4624
235,1311,2025-11-28,Engine diagnostic and tune-up,695.58,38037
236,7426,2022-12-20,Annual safety inspection,615.1,884
237,5832,2025-02-01,Suspension repair,466.27,24824
238,10759,2025-11-16,Windshield wiper replacement,361.44,46146
239,8025,2022-11-08,Suspension repair,170.99,91242
240,10329,2025-04-26,Routine oil and filter change,364.41,34927
241,4151,2022-11-24,Brake pad replacement,892.48,4370
242,14817,2023-11-02,Spark plug replacement,551.6,21424
243,7134,2024-02-14,Routine oil and filter change,840.87,146579
244,9508,2025-05-01,Tire rotation and balancing,437.17,8280
245,13984,2024-07-10,Air conditioning service,560.86,39709
246,10477,2023-09-23,Full detailing and cleaning,421.87,9639
247,8110,2024-12-08,Battery replacement,912.71,140
248,607,2025-04-12,Air conditioning service,111.31,96577
249,4710,2025-07-27,Wheel alignment,128.36,18671
250,4076,2026-05-09,Engine diagnostic and tune-up,765.02,13387
251,9977,2022-09-17,Tire rotation and balancing,247.72,2744
252,2841,2024-12-11,Routine oil and filter change,778.2,23127
253,4282,2024-02-26,Spark plug replacement,839.02,3157
254,14091,2024-11-01,Battery replacement,733.04,13116
255,11632,2026-05-11,Air conditioning service,326.04,9736
256,11409,2024-10-03,Engine diagnostic and tune-up,965.4,28631
257,14637,2024-05-10,Suspension repair,967.49,83939
258,3620,2025-05-03,Coolant system flush,802.82,9477
259,13977,2022-08-23,Windshield wiper replacement,65.83,58915
260,6035,2024-12-23,Annual safety inspection,875.89,87444
261,1657,2026-01-31,Transmission fluid flush,395.47,11318
262,14145,2022-07-28,Tire rotation and balancing,380.91,40193
263,644,2024-01-14,Suspension repair,561.28,144003
264,4600,2023-09-01,Engine diagnostic and tune-up,706.67,17548
265,14730,2024-08-11,Transmission fluid flush,431.47,30116
266,4284,2023-02-27,Tire rotation and balancing,50.96,3775
267,10592,2022-08-27,Routine oil and filter change,866.07,13676
268,3825,2025-08-14,Transmission fluid flush,98.97,69950
269,7538,2025-05-18,Full detailing and cleaning,350.35,49673
270,248,2025-06-07,Full detailing and cleaning,88.45,61291
271,2680,2023-12-15,Coolant system flush,729.1,11067
272,4310,2025-02-07,Windshield wiper replacement,384.45,90252
273,338,2023-06-25,Engine diagnostic and tune-up,623.29,12385
274,9464,2024-09-26,Annual safety inspection,103.76,6121
275,14753,2023-10-18,Coolant system flush,622.63,36334
276,6081,2025-03-15,Wheel alignment,565.79,1026
277,13158,2025-09-23,Battery replacement,897.73,66235
278,1474,2023-07-24,Battery replacement,320.07,14432
279,11304,2025-06-29,Full detailing and cleaning,611.48,27161
280,7524,2022-08-17,Coolant system flush,945.58,64961
281,2218,2023-10-10,Tire rotation and balancing,731.11,25938
282,8753,2023-07-24,Brake pad replacement,213.31,36386
283,8821,2024-11-18,Coolant system flush,798.26,15938
284,6403,2024-10-22,Wheel alignment,123.05,36817
285,2524,2025-11-15,Coolant system flush,290.93,6378
286,323,2025-06-20,Brake pad replacement,401.54,9560
287,12114,2025-03-18,Transmission fluid flush,550.83,40513
288,11507,2025-10-24,Tire rotation and balancing,901.87,47823
289,6719,2023-07-18,Full detailing and cleaning,516.84,5958
290,6234,2023-01-25,Spark plug replacement,142.29,19559
291,8152,2024-06-25,Headlight replacement,319.87,10359
292,8573,2022-08-04,Transmission fluid flush,594.34,2984
293,4032,2025-10-09,Engine diagnostic and tune-up,826.17,4316
294,3968,2023-08-03,Engine diagnostic and tune-up,845.86,9176
295,14252,2026-02-08,Suspension repair,240.11,4445
296,14707,2024-09-08,Windshield wiper replacement,448.51,15733
297,5712,2022-10-29,Coolant system flush,94.87,149189
298,1261,2025-05-07,Battery replacement,138.45,5001
299,6775,2026-04-30,Battery replacement,167.97,97256
300,881,2024-06-07,Suspension repair,301.96,22356
301,245,2025-11-05,Windshield wiper replacement,981.32,54315
302,13429,2022-07-09,Routine oil and filter change,921.09,36228
303,4618,2024-08-17,Wheel alignment,111.59,16155
304,159,2025-02-22,Coolant system flush,966.31,695
305,10749,2026-04-20,Annual safety inspection,233.24,54813
306,9513,2025-01-11,Brake pad replacement,672.77,1747
307,1155,2025-05-05,Coolant system flush,610.43,408
308,602,2025-04-20,Transmission fluid flush,322.53,75134
309,5364,2023-07-08,Coolant system flush,761.5,22897
310,3146,2025-08-12,Routine oil and filter change,253.8,60264
311,11007,2023-07-22,Engine diagnostic and tune-up,44,27985
312,1107,2025-05-01,Transmission fluid flush,365.22,17476
313,23,2025-08-27,Windshield wiper replacement,797.43,39175
314,10047,2024-10-31,Engine diagnostic and tune-up,921.96,28755
315,8899,2026-03-21,Headlight replacement,435.48,8169
316,950,2024-04-07,Full detailing and cleaning,243.77,2140
317,12646,2026-06-06,Suspension repair,46.12,1943
318,2110,2025-11-14,Full detailing and cleaning,266.55,10499
319,9725,2024-11-07,Tire rotation and balancing,494.28,25836
320,60,2024-12-26,Headlight replacement,554.59,24542
321,10041,2026-04-12,Suspension repair,241.39,18084
322,10362,2024-09-30,Full detailing and cleaning,241.95,3712
323,957,2024-12-26,Routine oil and filter change,544.41,1579
324,9782,2025-07-17,Headlight replacement,224.86,99822
325,647,2024-03-28,Annual safety inspection,372.19,63540
326,4009,2024-11-08,Air conditioning service,906.29,855
327,12073,2022-09-13,Wheel alignment,985.86,28397
328,10640,2024-01-02,Transmission fluid flush,204.09,8267
329,8384,2026-02-19,Transmission fluid flush,591.4,1202
330,13261,2026-06-22,Engine diagnostic and tune-up,551.32,3811
331,14266,2025-04-09,Headlight replacement,893.7,97169
332,2506,2023-07-17,Routine oil and filter change,161.59,915
333,12572,2023-01-10,Spark plug replacement,550.77,9653
334,7650,2025-12-31,Windshield wiper replacement,930.72,1504
335,6481,2026-04-28,Wheel alignment,831.37,27701
336,3361,2024-03-15,Coolant system flush,728.76,11446
337,11531,2022-12-25,Engine diagnostic and tune-up,838.9,24197
338,14005,2023-08-08,Coolant system flush,936.53,54951
339,2896,2024-04-28,Spark plug replacement,512.61,102291
340,678,2025-06-30,Suspension repair,784.85,1277
341,8040,2022-12-23,Routine oil and filter change,825.96,8544
342,2582,2024-10-12,Coolant system flush,630.54,667
343,13428,2025-05-03,Coolant system flush,146.27,6406
344,12952,2023-11-05,Brake pad replacement,703.72,12573
345,11857,2022-12-30,Air conditioning service,315.22,28736
346,2040,2022-07-22,Full detailing and cleaning,428.6,32846
347,10467,2022-07-15,Engine diagnostic and tune-up,150.47,24216
348,4055,2024-01-26,Spark plug replacement,410.47,30154
349,14155,2023-03-02,Full detailing and cleaning,772.67,53229
350,3826,2025-11-25,Brake pad replacement,452.52,83998
351,13726,2023-05-30,Tire rotation and balancing,311.7,16104
352,13029,2024-04-04,Coolant system flush,675.32,14209
353,3597,2022-08-02,Coolant system flush,123.5,144347
354,11393,2023-02-11,Battery replacement,108.88,33347
355,536,2026-03-18,Headlight replacement,457.43,152375
356,9186,2024-10-02,Engine diagnostic and tune-up,619.38,102993
357,14679,2025-05-18,Brake pad replacement,177.86,41261
358,2950,2023-04-01,Full detailing and cleaning,188.29,11462
359,1494,2025-09-24,Annual safety inspection,318.77,41287
360,3232,2024-05-10,Spark plug replacement,903.16,41090
361,7777,2024-08-24,Brake pad replacement,58.09,117549
362,397,2024-09-29,Spark plug replacement,889.62,6733
363,13434,2025-05-01,Windshield wiper replacement,43.74,16514
364,2730,2025-03-04,Headlight replacement,122.37,66468
365,10121,2022-10-09,Spark plug replacement,653.11,13315
366,11357,2023-04-16,Routine oil and filter change,221.8,66994
367,14258,2022-07-27,Air conditioning service,205.66,42471
368,5247,2023-03-26,Coolant system flush,241.73,66781
369,14695,2023-07-18,Annual safety inspection,139.79,26842
370,1475,2022-08-25,Annual safety inspection,185.68,74132
371,2162,2022-09-14,Suspension repair,379.76,8561
372,3749,2023-09-11,Tire rotation and balancing,711.48,32309
373,2284,2026-04-29,Engine diagnostic and tune-up,489.6,35686
374,730,2026-01-26,Coolant system flush,324.72,23586
375,8130,2026-03-26,Tire rotation and balancing,370.15,13772
376,9938,2024-01-21,Suspension repair,704.01,48760
377,11395,2022-09-18,Air conditioning service,189.2,35247
378,1684,2023-07-05,Headlight replacement,451.65,21019
379,125,2025-09-01,Annual safety inspection,965.09,108031
380,13448,2025-02-27,Transmission fluid flush,262.12,133957
381,3171,2022-12-01,Transmission fluid flush,307.1,27961
382,13765,2024-02-03,Battery replacement,428.13,62287
383,14909,2024-01-03,Wheel alignment,279.12,27647
384,12278,2022-08-12,Spark plug replacement,261.33,62922
385,14283,2023-09-29,Annual safety inspection,999.55,10786
386,14486,2022-12-26,Brake pad replacement,74.6,12366
387,5225,2025-05-11,Wheel alignment,416.08,83082
388,10326,2025-12-04,Battery replacement,370.88,12134
389,3507,2025-05-11,Full detailing and cleaning,315.13,3362
390,672,2022-10-27,Engine diagnostic and tune-up,111.84,9250
391,13590,2023-12-13,Engine diagnostic and tune-up,947.87,6724
392,10911,2023-04-30,Routine oil and filter change,745.47,41050
393,1559,2023-01-22,Brake pad replacement,558.01,4004
394,14412,2025-06-26,Coolant system flush,429.78,4742
395,988,2024-03-18,Engine diagnostic and tune-up,502,36314
396,13957,2025-03-19,Battery replacement,218.35,44756
397,1241,2023-09-25,Spark plug replacement,416.78,48876
398,1186,2023-06-24,Annual safety inspection,892.47,3499
399,4466,2023-12-21,Windshield wiper replacement,978.2,7748
400,14380,2024-03-11,Full detailing and cleaning,130.22,30384
401,10806,2026-03-25,Air conditioning service,317.39,4405
402,717,2023-08-01,Suspension repair,284.02,23770
403,1799,2026-04-10,Coolant system flush,191.73,8820
404,10413,2022-09-05,Windshield wiper replacement,870.76,79960
405,8404,2025-10-19,Transmission fluid flush,122.31,2825
406,4575,2023-09-26,Engine diagnostic and tune-up,980.98,5358
407,681,2023-04-17,Coolant system flush,382.21,6904
408,4884,2024-02-10,Engine diagnostic and tune-up,898.76,3427
409,2955,2024-04-21,Spark plug replacement,495.89,440
410,2867,2024-02-01,Spark plug replacement,867.62,1154
411,10721,2024-05-04,Battery replacement,108.5,132712
412,8419,2024-11-15,Air conditioning service,781.65,5588
413,5985,2022-10-11,Wheel alignment,719.7,7303
414,13041,2025-11-01,Transmission fluid flush,507.9,12583
415,1213,2026-01-12,Headlight replacement,229.46,374
416,6949,2022-08-07,Transmission fluid flush,972.72,25379
417,14440,2023-08-20,Windshield wiper replacement,404.49,3324
418,4510,2024-09-21,Engine diagnostic and tune-up,221.84,7393
419,797,2023-04-30,Full detailing and cleaning,192.5,502
420,740,2025-05-18,Battery replacement,219.43,42644
421,3555,2026-05-22,Battery replacement,699.35,95083
422,10610,2025-04-28,Windshield wiper replacement,899.16,22056
423,5916,2025-07-08,Full detailing and cleaning,126.72,5180
424,7256,2025-06-02,Suspension repair,495.54,22995
425,4686,2026-02-24,Brake pad replacement,249.24,3907
426,2519,2025-03-24,Brake pad replacement,745.29,3456
427,13191,2024-10-01,Spark plug replacement,122.65,4316
428,14671,2022-08-09,Transmission fluid flush,933.7,2989
429,2434,2022-12-14,Spark plug replacement,970.06,12359
430,6206,2023-10-28,Headlight replacement,533.15,10265
431,10463,2023-03-19,Wheel alignment,424.42,16185
432,12384,2025-12-13,Brake pad replacement,684.88,52538
433,2615,2022-10-06,Engine diagnostic and tune-up,115.37,70312
434,3434,2025-12-15,Headlight replacement,769.07,7141
435,13806,2022-12-07,Transmission fluid flush,41.61,10931
436,9307,2024-11-24,Full detailing and cleaning,680.25,1900
437,5007,2025-11-01,Headlight replacement,83.14,11782
438,10341,2022-12-13,Annual safety inspection,196.89,4506
439,3384,2022-10-05,Wheel alignment,160.58,72995
440,12806,2022-07-14,Engine diagnostic and tune-up,499.48,89052
441,2278,2023-02-13,Transmission fluid flush,791.1,6694
442,2740,2022-07-16,Wheel alignment,856.49,657
443,13212,2025-04-12,Battery replacement,406.52,25639
444,4368,2023-10-01,Wheel alignment,485.65,466
445,4384,2024-06-04,Annual safety inspection,475.21,2648
446,14770,2025-09-08,Engine diagnostic and tune-up,922.97,70574
447,10803,2025-10-29,Suspension repair,763.48,11137
448,1998,2026-02-11,Suspension repair,312.6,16319
449,13655,2025-07-17,Air conditioning service,723.81,93745
450,3281,2023-03-28,Battery replacement,569.35,1177
451,6736,2022-11-08,Air conditioning service,85.13,36236
452,6545,2025-07-22,Wheel alignment,611.54,104142
453,6073,2025-05-28,Suspension repair,973.67,5119
454,7929,2024-02-08,Full detailing and cleaning,991.71,4884
455,1944,2024-01-29,Brake pad replacement,540.33,37198
456,8645,2025-09-12,Suspension repair,644.47,3762
457,13512,2025-05-20,Tire rotation and balancing,785.86,38579
458,3937,2026-06-23,Tire rotation and balancing,842.53,105439
459,11759,2023-08-08,Tire rotation and balancing,991.66,44976
460,3376,2024-11-03,Headlight replacement,752.42,18204
461,1349,2022-10-19,Engine diagnostic and tune-up,930.89,49384
462,4446,2026-02-19,Coolant system flush,585.19,5205
463,9787,2025-07-13,Full detailing and cleaning,963.5,20058
464,4727,2025-03-30,Wheel alignment,43.54,34580
465,3222,2023-08-19,Headlight replacement,82.17,58643
466,10454,2024-05-23,Suspension repair,927.47,13976
467,10059,2022-12-28,Spark plug replacement,444.64,60774
468,11186,2024-05-22,Brake pad replacement,858.01,46300
469,8410,2026-05-28,Coolant system flush,302.88,20398
470,3024,2024-04-18,Battery replacement,927.76,31031
471,217,2023-02-06,Transmission fluid flush,238.73,15478
472,1854,2023-08-03,Routine oil and filter change,52.05,4729
473,6691,2022-07-14,Headlight replacement,108.41,175951
474,2277,2022-12-06,Headlight replacement,64.49,48221
475,2453,2024-09-05,Coolant system flush,693.78,45457
476,1184,2024-12-04,Suspension repair,187.01,124627
477,4648,2023-11-21,Brake pad replacement,76.63,4981
478,7384,2023-09-29,Spark plug replacement,805.36,23836
479,5275,2025-10-29,Engine diagnostic and tune-up,83.72,24410
480,13470,2023-07-27,Engine diagnostic and tune-up,402.97,33960
481,995,2025-03-30,Suspension repair,518.76,954
482,9580,2023-05-21,Battery replacement,984.15,47752
483,10114,2022-08-16,Suspension repair,771.21,273
484,4578,2024-11-04,Annual safety inspection,288.29,23111
485,10244,2023-09-15,Full detailing and cleaning,877.62,24632
486,10249,2023-02-13,Routine oil and filter change,730.41,28226
487,5072,2024-07-18,Engine diagnostic and tune-up,196.3,52851
488,10224,2022-12-19,Routine oil and filter change,903.08,51740
489,14461,2025-02-11,Annual safety inspection,284.98,42821
490,2300,2023-03-12,Brake pad replacement,426.39,4799
491,2933,2023-10-06,Headlight replacement,556.6,29708
492,168,2024-01-17,Brake pad replacement,936.48,2296
493,4819,2023-10-31,Coolant system flush,169.93,891
494,3147,2026-01-04,Full detailing and cleaning,771.21,39408
