id,license_plate,vin,make,model,year,category_id,branch_id,color,mileage,status,created_at
40,GR000039,E4A6DLU6HG6B1MJ0C,Mercedes-Benz,E-Class,2017,6,34,Beige,26204,maintenance,2026-02-23 12:39:07
41,JS000040,36H46NXYPGB7XDBKP,Hyundai,i10,2016,1,4,White,131751,available,2024-12-12 12:39:07
42,HO000041,Z1FJCZK414MW1C3MT,Honda,CR-V,2024,5,14,Red,38149,available,2023-08-28 12:39:07
43,PU000042,L9NVEJU7XCRM154NW,BMW,Z4,2023,8,56,Silver,55326,available,2022-02-10 12:39:07
44,QY000043,PWNM7950DEE4P2NJV,Ford,Mustang Convertible,2023,8,54,Blue,65016,maintenance,2023-09-27 12:39:07
45,GX000044,CMR8HYNX2TZRTCLW1,Mazda,MX-5,2019,8,48,White,99405,maintenance,2025-04-10 12:39:07
46,PP000045,UF1K97MA9C1PCWWSZ,Ford,Mustang Convertible,2019,8,71,Silver,4112,rented,2024-07-27 12:39:07
47,GP000046,U0YGY0S9VPPM4Z0XT,Honda,Civic,2019,2,52,Black,136993,available,2022-04-30 12:39:07
48,WY000047,4SYK75DTRTBA5BNM1,Fiat,500,2023,1,27,Silver,55656,maintenance,2023-11-05 12:39:07
49,TK000048,FVZH9VZWWR1TWRF7T,Volkswagen,up!,2022,1,11,White,70533,retired,2024-11-08 12:39:07
50,YK000049,T45VF7ELX22V6E3EC,Ford,Transit,2023,7,18,Silver,41684,rented,2025-06-26 12:39:07
51,BI000050,Z9C69RK37NV5HK50C,BMW,5 Series,2015,6,50,Beige,101818,rented,2024-12-13 12:39:07
52,OA000051,79JSM6T36H6LNNBUL,Honda,CR-V,2016,5,69,Blue,42149,rented,2026-02-09 12:39:07
53,CK000052,7AWGPN80T9C68H0JP,BMW,5 Series,2021,6,18,Gray,111081,retired,2023-03-21 12:39:07
54,WM000053,Z1V6PG2AGRA0ZLUPW,Mercedes-Benz,E-Class,2015,6,74,Black,218610,rented,2026-05-31 12:39:07
55,XU000054,PZ4FKSTAU8XP4J3X0,Ford,Explorer,2020,5,6,Blue,109602,rented,2022-02-06 12:39:07
56,LN000055,MD2898YE8ZHVYS12N,Mercedes-Benz,E-Class,2024,6,73,Silver,26425,available,2025-03-17 12:39:07
57,GN000056,30EC7ZJYB5W023S97,Lexus,ES,2025,6,28,Beige,14679,rented,2022-09-17 12:39:07
58,WX000057,HPR7NFZG320AP0PTU,Ford,Focus,2019,2,73,Blue,77715,retired,2025-05-06 12:39:07
59,ZW000058,5LD36G2Y026RJR23K,BMW,X5,2017,5,75,Silver,129975,available,2025-02-22 12:39:07
60,HS000059,MKN8EHUBSD03L4LRP,Toyota,Corolla,2020,2,75,Gray,52296,rented,2023-01-02 12:39:07
61,YA000060,V7WAAWUS71FYGCY1Z,Ford,Transit,2025,7,45,White,5621,retired,2024-09-08 12:39:07
62,WH000061,8T1NR3RG2LMSY7F3F,Kia,Picanto,2023,1,55,Blue,56274,available,2025-11-29 12:39:07
63,EB000062,6JE9BJWP923VWCT9K,Renault,Trafic,2016,7,59,Beige,84239,rented,2023-06-06 12:39:07
64,VB000063,EY9PJTVVS0S2Z523L,Hyundai,i10,2017,1,15,Silver,135462,retired,2022-10-26 12:39:07
65,LL000064,P9J1JYVP8SP1LBGN3,Toyota,Camry,2015,3,26,Silver,229854,available,2023-02-27 12:39:07
66,XI000065,J4KXYF6L677U8HNZU,Toyota,Camry,2023,3,42,Green,61572,maintenance,2024-02-11 12:39:07
67,XI000066,JAEX8KF9JD1RU1G8S,Mazda,MX-5,2025,8,23,Silver,17200,available,2023-02-09 12:39:07
68,HG000067,Y74BCXK8HFEBBJ5AV,Ford,Transit,2022,7,36,Blue,8854,rented,2023-10-22 12:39:07
69,RY000068,DML7SNH320LMGGNSC,Audi,A5 Cabriolet,2022,8,40,Green,31138,maintenance,2022-11-28 12:39:07
70,RB000069,1910FUPEYZBV2UBD2,Ford,Mustang Convertible,2024,8,38,Beige,46347,available,2025-01-17 12:39:07
71,LI000070,W7CUYHYCESEJ5RVV2,Renault,Trafic,2018,7,73,Blue,134256,available,2025-02-01 12:39:07
72,SC000071,GGEA95SNSZSBWF1NG,Renault,Trafic,2024,7,45,Green,14966,rented,2022-03-30 12:39:07
73,FH000072,T5TDWB5TU3BDF8YBA,Chrysler,300,2022,4,49,Black,21945,rented,2024-05-15 12:39:07
74,DO000073,F9M6189L1UCU4ZX49,Mercedes-Benz,E-Class,2016,6,68,Silver,109285,available,2022-10-09 12:39:07
75,UF000074,MFJYXM4BAS5LL7WSJ,Volkswagen,Transporter,2021,7,3,Silver,30176,maintenance,2025-10-27 12:39:07
76,CA000075,C854H4GX26EF3VUR3,Mercedes-Benz,Vito,2017,7,41,Black,145839,rented,2023-09-24 12:39:07
77,OS000076,NMBCJHD4CW66FEGSN,Volkswagen,Transporter,2024,7,66,Blue,24255,retired,2023-03-02 12:39:07
78,JD000077,9MSXDCWSH51W22331,Toyota,Camry,2022,3,27,Blue,23660,maintenance,2023-08-14 12:39:07
79,SE000078,PWG2366ULEBXUMY4Z,Mazda,MX-5,2017,8,44,Green,135541,retired,2025-10-13 12:39:07
80,AG000079,JDE0BAAXA5J3C75V1,Toyota,Avalon,2022,4,20,Beige,67513,retired,2026-04-21 12:39:07
81,WQ000080,PZ71YSBW5EJMG29JM,Hyundai,i10,2020,1,5,Black,119203,maintenance,2021-10-07 12:39:07
82,VI000081,NVLRMH5STGKF4SJ1Y,Renault,Trafic,2022,7,57,Silver,35977,rented,2022-06-24 12:39:07
83,FF000082,8FX9WHAYSRRGRA5H8,Volkswagen,Passat,2015,3,67,Red,238390,available,2024-01-17 12:39:07
84,YL000083,CARX7FH18HUKDE9M2,Kia,Picanto,2022,1,80,Beige,22198,maintenance,2022-03-20 12:39:07
85,AV000084,GAD5DV5XH1F57G2YJ,Ford,Mustang Convertible,2022,8,50,Red,39472,rented,2023-03-14 12:39:07
86,MG000085,LDWP6CSF04W942AER,Renault,Trafic,2025,7,61,Gray,12927,available,2026-03-15 12:39:07
87,QH000086,KYXCGANV4J99DZPP9,Mercedes-Benz,E-Class,2021,6,16,White,107282,rented,2026-01-13 12:39:07
88,SP000087,8DPUV1T3U9H79RVST,Toyota,Corolla,2019,2,60,Black,17610,available,2022-05-07 12:39:07
89,KL000088,PBN8ZZ80VF8EFDGSD,Ford,Taurus,2023,4,35,Red,53738,rented,2025-09-25 12:39:07
90,EP000089,K5VB0W14YT3HDDURV,Toyota,Yaris,2020,1,41,Blue,121918,available,2024-12-19 12:39:07
91,PC000090,29SMSDF78AF5CK0L0,Mercedes-Benz,E-Class,2015,6,27,Blue,155937,available,2026-05-29 12:39:07
92,IE000091,ZGM6LMJL6KPVYYMS3,BMW,X5,2019,5,31,Blue,28537,retired,2022-02-16 12:39:07
93,UT000092,NRZZW2PXRU17AT2FE,Toyota,Camry,2016,3,54,Gray,216413,rented,2023-06-07 12:39:07
94,BD000093,CCYZHTPVM4MKKFW6X,Volkswagen,Golf,2022,2,56,Red,25373,maintenance,2021-11-12 12:39:07
95,KF000094,FBU9KPX0HA8NALTBN,Honda,Civic,2023,2,41,Silver,45938,rented,2023-03-05 12:39:07
96,SM000095,ZVWXG9ZDY9U6GMU4H,Audi,A6,2016,6,44,Beige,218097,maintenance,2022-11-02 12:39:07
97,QO000096,6ULW6CDY9KBJD8WEN,Honda,Accord,2022,3,26,Green,79002,available,2025-04-03 12:39:07
98,AZ000097,A84ZF1V4NYTZGDGH6,Jeep,Grand Cherokee,2023,5,11,Gray,27679,rented,2026-05-27 12:39:07
99,TB000098,CKAEEUYUK0G883KVC,Ford,Taurus,2015,4,25,Black,92013,available,2021-07-19 12:39:07
100,SM000099,SK8MVB889N0CZJY2D,Mercedes-Benz,Vito,2020,7,58,Green,24287,rented,2022-07-01 12:39:07
101,FU000100,U9V91990VTR1ZVP2R,Chevrolet,Impala,2023,4,8,White,21369,rented,2024-10-09 12:39:07
102,BF000101,5GM40S2FPU8CY9UFG,Honda,Accord,2022,3,15,Beige,63031,available,2021-08-28 12:39:07
103,ZJ000102,VVT0PBG9NEGBNT4VW,Ford,Mondeo,2020,3,52,Green,33274,rented,2022-01-20 12:39:07
104,TC000103,79BM4572ERGG50TZN,Chevrolet,Impala,2023,4,12,Gray,10228,available,2024-08-09 12:39:07
105,KR000104,8F055RHES6ZF1VCL0,Toyota,Avalon,2025,4,5,Beige,11380,maintenance,2023-11-19 12:39:07
106,KM000105,17GK7TUMHW8ED4BPE,Audi,A6,2023,6,70,Beige,20574,maintenance,2023-03-23 12:39:07
107,UG000106,MUXE9EYGZXLCBTBVS,Toyota,Corolla,2024,2,67,White,21197,retired,2023-06-08 12:39:07
108,WM000107,TG0UKERDE30FNZ9SU,Chrysler,300,2024,4,49,Black,6947,available,2024-04-03 12:39:07
109,UU000108,MZG5CSY4ADPE1K4SZ,Chrysler,300,2022,4,14,Silver,13238,rented,2022-12-09 12:39:07
110,YP000109,LWGZHKX7NAM44J2L6,Honda,CR-V,2025,5,55,White,19373,rented,2025-04-25 12:39:07
111,XK000110,0SHLMHBVWWX1EA0WP,Jeep,Grand Cherokee,2015,5,40,Black,146592,rented,2026-06-13 12:39:07
112,ES000111,BCUC9THEDWMVBCL9L,Honda,Civic,2018,2,6,Blue,113529,retired,2025-03-02 12:39:07
113,JB000112,VRDZCG1337WWHPFK8,Chrysler,300,2015,4,8,Blue,115413,rented,2026-01-04 12:39:07
114,GK000113,BTK83UDFVUYSLV5CB,Volkswagen,Transporter,2020,7,53,Gray,110302,retired,2021-12-19 12:39:07
115,SL000114,WVSZX5XD3E2FST8Z0,Ford,Transit,2024,7,72,Green,38166,available,2023-03-06 12:39:07
116,VA000115,5TT4W8BNGT8N3VYYP,Ford,Mustang Convertible,2015,8,59,Red,148819,available,2025-06-12 12:39:07
117,ZF000116,56EX7R4MEGL6A5PHU,Fiat,500,2023,1,60,White,13628,available,2026-02-08 12:39:07
118,TA000117,15ZYLATCJLSV12SUV,BMW,Z4,2015,8,46,Beige,102404,available,2024-02-23 12:39:07
119,HO000118,K49R65R0PENJANHSD,Mercedes-Benz,Vito,2020,7,61,Red,17862,retired,2026-01-23 12:39:07
120,UC000119,7YBLDLDGTUZ462RS9,Volkswagen,Golf,2018,2,4,Black,40069,available,2024-08-12 12:39:07
121,IG000120,JHUHM84K4ZBXSV3Z5,Hyundai,i10,2018,1,63,Green,152035,retired,2023-12-23 12:39:07
122,UL000121,44XZJKF4WRS6XG5LV,Jeep,Grand Cherokee,2017,5,31,Silver,14071,available,2024-11-14 12:39:07
123,WI000122,6VPW8N1F946WN1RUM,Nissan,Altima,2020,3,16,Gray,22408,retired,2024-07-31 12:39:07
124,GQ000123,S6PHJPJW2KTTL2XCR,Hyundai,i10,2015,1,10,Red,19426,available,2025-05-13 12:39:07
125,IV000124,VBZX40HKN1R569485,Ford,Transit,2020,7,62,Silver,133607,rented,2022-10-19 12:39:07
126,GY000125,8WKM6GX7DZPAMDZ8T,Ford,Focus,2015,2,5,Red,210492,rented,2024-07-30 12:39:07
127,XW000126,KCW6MH3KLXAL5ZGBU,Toyota,Avalon,2021,4,32,Gray,105225,rented,2024-03-21 12:39:07
128,SS000127,603V3WDL7LFT2MF1V,Honda,Civic,2022,2,43,Green,71487,available,2023-01-12 12:39:07
129,KF000128,RNHP8LKJ3GLLVTXT9,Honda,Civic,2021,2,73,Blue,39451,retired,2023-12-16 12:39:07
130,VZ000129,UK78TS8GLY6K6HMUY,Volkswagen,up!,2019,1,79,Silver,35865,rented,2021-09-11 12:39:07
131,VT000130,D0XDULSWW8SYPFLPZ,Chrysler,300,2022,4,12,Beige,42920,available,2024-06-27 12:39:07
132,JF000131,4J51UKP4HYWUNHJYD,Chrysler,300,2024,4,34,Beige,26547,retired,2023-12-30 12:39:07
133,ML000132,773L3KNCHKH68ZYS3,Nissan,Altima,2015,3,65,Green,9475,available,2025-06-13 12:39:07
134,TN000133,PU1E3MUK1MS2ZGBWV,Honda,CR-V,2016,5,41,Black,30278,available,2023-09-06 12:39:07
135,LR000134,1LHRAUDDC2CEFAPSM,Honda,Civic,2024,2,29,Green,31938,rented,2025-08-28 12:39:07
136,DS000135,S44WYLDM2NFTA3K8Z,Volkswagen,up!,2016,1,3,White,38234,rented,2022-02-22 12:39:07
137,AF000136,U66WTGKDHM4J57FKH,Ford,Taurus,2015,4,70,Green,36749,available,2021-09-02 12:39:07
138,LG000137,M0508Y9XPZB4X615W,Mercedes-Benz,E-Class,2021,6,63,Blue,74290,available,2023-08-10 12:39:07
139,YE000138,HDE0WB36EHVPS831U,Mazda,MX-5,2022,8,33,White,12691,rented,2024-07-16 12:39:07
140,EX000139,AA649LS1FY2JSXP0K,BMW,Z4,2023,8,50,Red,37527,rented,2026-06-27 12:39:07
141,OQ000140,8P3WB5N59JRX9ACV2,Ford,Taurus,2015,4,42,Black,96471,available,2023-03-16 12:39:07
142,RS000141,JR9PTR7BXNBBG59K2,Chevrolet,Impala,2018,4,64,Silver,77806,available,2022-07-06 12:39:07
143,WX000142,S4FSCHG9E2BTX2S44,Volkswagen,up!,2015,1,65,Blue,9478,maintenance,2025-04-03 12:39:07
144,BU000143,LN2L3ETD12JL2M5XS,Ford,Mondeo,2021,3,79,Green,47042,retired,2022-09-20 12:39:07
145,BV000144,FY8J09XYBGX0GTZBB,Mercedes-Benz,Vito,2024,7,31,Blue,25458,rented,2024-11-11 12:39:07
146,PS000145,MWYND5EZ1LHMW3304,Ford,Mondeo,2022,3,25,White,55807,maintenance,2025-12-14 12:39:07
147,YH000146,MCDXF9HPHA87TSSVD,Chrysler,300,2022,4,63,Black,26846,rented,2023-09-07 12:39:07
148,SE000147,RNPUXAJEWP493DZ4K,Chevrolet,Impala,2017,4,2,Beige,53040,available,2022-10-20 12:39:07
149,KV000148,H3D1XBHUHC5H4CK6Z,Toyota,Yaris,2017,1,34,Beige,103118,available,2024-10-20 12:39:07
150,JG000149,YXNABS60FRTBEJFPN,BMW,Z4,2015,8,17,Gray,13371,available,2025-02-06 12:39:07
151,XY000150,NU5FTWS23VPCUC6TY,Honda,Civic,2020,2,9,Red,83394,available,2022-09-07 12:39:07
152,SV000151,CS4UMEC0J7JJUR1C6,Toyota,Yaris,2018,1,77,Green,66346,rented,2023-04-11 12:39:07
153,XB000152,HC9CE8B429ZKG2RDY,Jaguar,XF,2015,6,3,Green,104354,available,2024-09-14 12:39:07
154,HP000153,X6JV7UWWLZ40B3ZPN,Ford,Mondeo,2015,3,33,Black,148553,rented,2023-06-27 12:39:07
155,HF000154,ZWNF5DTFX5R4E23G9,Ford,Explorer,2023,5,33,Gray,64414,rented,2022-02-04 12:39:07
156,FN000155,L4GNJ8RA691YXD4YU,Ford,Mondeo,2021,3,71,Beige,38744,available,2021-11-26 12:39:07
157,RM000156,T04X9549SMHRXFFFW,Toyota,RAV4,2017,5,56,Blue,160756,available,2021-09-30 12:39:07
158,VH000157,2X1ZNREUWYJT57YSH,Ford,Mustang Convertible,2017,8,64,Gray,190232,available,2025-02-14 12:39:07
159,JN000158,ZNEHM3DBL7KGSGVH8,Ford,Focus,2025,2,51,Gray,14641,maintenance,2023-05-14 12:39:07
160,TX000159,730JELS1YM312PZCA,Honda,Civic,2020,2,3,Green,42182,available,2022-12-28 12:39:07
161,QW000160,B04G2ECFDV404GLCM,Ford,Focus,2022,2,20,White,15515,retired,2021-07-05 12:39:07
162,SA000161,XVCLEY0Z9VHZMD1S6,Nissan,Rogue,2016,5,17,Black,64405,available,2023-03-14 12:39:07
163,TJ000162,68KGWVKE8DEH2P821,Lexus,ES,2021,6,12,Beige,88860,available,2024-10-07 12:39:07
164,ZW000163,SUL2W5LDWBGTHU97W,Honda,Civic,2024,2,14,White,28997,available,2024-07-09 12:39:07
165,DI000164,VEZE25KH3VM6CHLEA,Mazda,MX-5,2023,8,23,Beige,2603,rented,2024-04-23 12:39:07
166,UX000165,XFSH2VEVJACWJA6KN,Honda,CR-V,2025,5,13,Beige,26682,rented,2026-05-28 12:39:07
167,SV000166,WAPW6EVE0Y8YF3GSF,Ford,Taurus,2024,4,77,Blue,40938,available,2024-07-01 12:39:07
168,HH000167,HBK0PCXE1L93E0AVK,Volkswagen,Golf,2025,2,79,Beige,11877,maintenance,2025-12-22 12:39:07
169,RR000168,P63NS4EP3HF51AS6D,Ford,Transit,2024,7,56,Black,31395,rented,2025-09-24 12:39:07
170,EF000169,YGMG6T846RPFVLZ1T,Chrysler,300,2018,4,55,Blue,114865,available,2022-08-23 12:39:07
171,MX000170,F7JEZMVHZB67GFZ5E,Volkswagen,up!,2023,1,71,Red,15016,available,2023-05-22 12:39:07
172,QB000171,4RW33DR43K47MZ5RN,Kia,Picanto,2016,1,80,White,128023,available,2025-06-04 12:39:07
173,WD000172,SJX8CS71E8AWZ8GE9,Volkswagen,Golf,2025,2,76,Black,7862,maintenance,2025-02-05 12:39:07
174,KR000173,XFBR1S7DTTDFNM7PM,Renault,Trafic,2016,7,66,Black,25325,available,2023-07-12 12:39:07
175,SV000174,0D18FHTZ1FWPFPXDP,Nissan,Altima,2015,3,35,Blue,120123,available,2022-01-11 12:39:07
176,XU000175,F75U64M9D95TCN1RD,BMW,5 Series,2020,6,14,Silver,56899,rented,2026-02-02 12:39:07
177,UI000176,C42FRGUEHX9R90L1X,Audi,A6,2016,6,21,Blue,157963,rented,2022-11-16 12:39:07
178,WY000177,M549M46HT0LFC6YR4,Jeep,Grand Cherokee,2020,5,33,Blue,28903,available,2024-06-22 12:39:07
179,EW000178,11ML10HPD9T6FUV58,Mercedes-Benz,E-Class,2022,6,13,Silver,73093,maintenance,2022-05-29 12:39:07
180,AN000179,28YS3SATDUYREPUC3,Nissan,Rogue,2021,5,50,Silver,31872,retired,2023-11-12 12:39:07
181,LG000180,44SMG0X2CWRNVR39K,Ford,Mustang Convertible,2018,8,52,Gray,150840,available,2024-02-10 12:39:07
182,FQ000181,X9NCYSH390ZEAB44U,BMW,Z4,2016,8,40,Beige,173543,retired,2023-11-25 12:39:07
183,VI000182,UL4XWLXLASSHDVJAN,Ford,Taurus,2022,4,62,Gray,75623,retired,2023-07-07 12:39:07
184,KO000183,09FHYV4W1WF0409HS,Renault,Trafic,2024,7,33,Silver,32211,available,2022-03-07 12:39:07
185,IL000184,XUSNUY92VP2DA3D50,Toyota,Avalon,2023,4,69,White,19907,available,2022-09-28 12:39:07
186,QT000185,17KXUXS7AHV516A2U,Kia,Picanto,2022,1,4,Beige,64304,rented,2026-02-04 12:39:07
187,UC000186,P0L4M9JAWUHYJZA50,Kia,Picanto,2018,1,79,White,18410,available,2025-04-10 12:39:07
188,YL000187,CK0H4UGBPE3JWWN4P,Ford,Mustang Convertible,2020,8,18,White,53976,retired,2024-12-17 12:39:07
189,EV000188,GWZRDC6K2M3AW65H1,Volkswagen,Transporter,2024,7,68,Gray,4480,available,2025-09-15 12:39:07
190,JU000189,LA02XL15BM56RTCZM,Jaguar,XF,2022,6,7,Black,16816,rented,2025-01-22 12:39:07
191,UP000190,WETYF21WUGURRS003,Chrysler,300,2024,4,42,Gray,27310,available,2023-02-19 12:39:07
192,LY000191,D3AAN88DFPTDNVR5S,Volkswagen,Transporter,2021,7,63,Gray,98824,available,2025-01-10 12:39:07
193,HE000192,P49NRJF1CFKB1W8KU,Nissan,Altima,2017,3,49,Blue,59841,available,2024-01-22 12:39:07
194,IJ000193,366V6K58MGDAKJ9U5,Jaguar,XF,2021,6,46,Black,101586,available,2022-06-11 12:39:07
195,RN000194,H3C5XPFUVF2W559D7,BMW,5 Series,2015,6,42,Red,57464,available,2023-10-23 12:39:07
196,WF000195,SPMZ9231XUG2MNZY7,Renault,Trafic,2021,7,63,Silver,52572,maintenance,2024-01-08 12:39:07
197,SB000196,M72BKZHCAWLE6X0G0,Ford,Mustang Convertible,2021,8,68,Red,60461,available,2023-08-12 12:39:07
198,YA000197,1EEJAA53SX70NMFHS,Volkswagen,up!,2023,1,7,Gray,24024,maintenance,2021-10-11 12:39:07
199,WO000198,C4JPLXWV29REN07B2,Toyota,Yaris,2025,1,10,Silver,3756,available,2021-12-18 12:39:07
200,GR000199,ZBS0J9AHTUGBTX6TT,Ford,Explorer,2016,5,60,Beige,2662,available,2023-06-01 12:39:07
201,YI000200,MN3LMULFN7VMN0WHR,Mazda,3,2020,2,14,Blue,96764,available,2023-02-12 12:39:07
202,MT000201,59RPY6GTE34MMCVWS,Ford,Focus,2019,2,9,Beige,55412,maintenance,2024-01-05 12:39:07
203,PI000202,SNKSSYWUDGGX81LGE,Volkswagen,Passat,2019,3,7,Red,150169,maintenance,2023-08-21 12:39:07
204,XF000203,6GEEK0HBAYRTRAPXJ,Ford,Focus,2018,2,21,Silver,103434,rented,2022-05-24 12:39:07
205,VJ000204,0E6N8MESWLET4S6FP,Ford,Taurus,2021,4,29,White,46841,available,2024-08-02 12:39:07
206,QF000205,W2N55PUTT15PDBUDT,Nissan,Rogue,2025,5,47,Silver,18600,available,2025-10-16 12:39:07
207,HN000206,2SYMBT7901E2N5HRY,Ford,Mondeo,2018,3,33,Black,90924,available,2021-08-09 12:39:07
208,ZU000207,4JTAP54K4G8FUFVZ8,Toyota,Avalon,2025,4,43,Green,10986,maintenance,2025-08-19 12:39:07
209,IU000208,1ZDUJNGPVCYFCF7JD,Lexus,ES,2024,6,44,Black,25706,available,2022-08-15 12:39:07
210,RT000209,ZYXEGLY7Y20CN8280,Chrysler,300,2021,4,52,Gray,13381,maintenance,2025-08-14 12:39:07
211,GK000210,WVVYFAU2MR18FJLG0,Toyota,Corolla,2024,2,17,Red,7369,available,2026-04-16 12:39:07
212,VS000211,LEV7XYPCWMYWRE0NL,Volkswagen,Passat,2019,3,41,Gray,25180,available,2022-06-21 12:39:07
213,YI000212,HTJVAY72TE96TN61U,Toyota,Avalon,2024,4,20,Red,38392,retired,2022-08-17 12:39:07
214,LL000213,VL4ZHWDWTYKYJ1VBD,Volkswagen,Transporter,2019,7,33,Beige,133794,rented,2023-08-10 12:39:07
215,SZ000214,MCZF73VG7931YY0U0,Mazda,MX-5,2022,8,45,Beige,54334,rented,2025-04-09 12:39:07
216,AN000215,68W7PT1V7T7WKAHSS,Fiat,500,2016,1,53,Silver,17012,available,2021-08-31 12:39:07
217,CK000216,6G7LYG8SM7FSCD6DM,BMW,Z4,2021,8,71,Silver,40453,rented,2026-06-19 12:39:07
218,FK000217,U259ZN6C9AH38VNEH,Toyota,RAV4,2018,5,60,Gray,155230,retired,2025-05-15 12:39:07
219,QY000218,B9M0WCXNJVWF6G6FE,Honda,CR-V,2024,5,47,White,10867,rented,2023-08-23 12:39:07
220,MO000219,RFS2WDKUDH2LEMPZY,Honda,Civic,2023,2,72,Gray,61649,available,2021-09-05 12:39:07
