id,car_id,policy_number,insurer_name,start_date,end_date,coverage_amount
95,95,POL-0000095-2025,MAPFRE,2025-02-10,2026-02-10,82000
96,96,POL-0000096-2025,Allianz,2025-01-11,2026-01-11,29000
97,97,POL-0000097-2025,Generali,2025-01-09,2026-01-09,76000
98,98,POL-0000098-2025,Progressive,2025-01-16,2026-01-16,22000
99,99,POL-0000099-2025,Progressive,2025-05-28,2026-05-28,21000
100,100,POL-0000100-2025,AXA,2025-06-14,2026-06-14,35000
101,101,POL-0000101-2025,Aviva,2025-05-23,2026-05-23,44000
102,102,POL-0000102-2025,Liberty Mutual,2025-04-23,2026-04-23,30000
103,103,POL-0000103-2025,Progressive,2025-04-08,2026-04-08,95000
104,104,POL-0000104-2025,MAPFRE,2025-05-22,2026-05-22,22000
105,105,POL-0000105-2024,Progressive,2024-12-30,2025-12-30,51000
106,106,POL-0000106-2025,StateFarm,2025-04-18,2026-04-18,90000
107,107,POL-0000107-2025,Allianz,2025-04-18,2026-04-18,99000
108,108,POL-0000108-2024,AXA,2024-12-25,2025-12-25,20000
109,109,POL-0000109-2025,Geico,2025-03-09,2026-03-09,99000
110,110,POL-0000110-2025,Zurich,2025-05-08,2026-05-08,57000
111,111,POL-0000111-2025,Aviva,2025-02-26,2026-02-26,89000
112,112,POL-0000112-2025,Generali,2025-01-04,2026-01-04,36000
113,113,POL-0000113-2024,Zurich,2024-12-23,2025-12-23,69000
114,114,POL-0000114-2025,AXA,2025-03-23,2026-03-23,25000
115,115,POL-0000115-2025,Liberty Mutual,2025-04-28,2026-04-28,36000
116,116,POL-0000116-2025,Zurich,2025-03-10,2026-03-10,33000
117,117,POL-0000117-2025,Progressive,2025-05-03,2026-05-03,79000
118,118,POL-0000118-2024,MAPFRE,2024-12-26,2025-12-26,95000
119,119,POL-0000119-2025,MAPFRE,2025-03-10,2026-03-10,71000
120,120,POL-0000120-2025,Geico,2025-06-18,2026-06-18,48000
121,121,POL-0000121-2025,Aviva,2025-05-21,2026-05-21,21000
122,122,POL-0000122-2025,Aviva,2025-06-28,2026-06-28,80000
123,123,POL-0000123-2024,Progressive,2024-12-29,2025-12-29,31000
124,124,POL-0000124-2025,Aviva,2025-04-01,2026-04-01,58000
125,125,POL-0000125-2025,Liberty Mutual,2025-03-03,2026-03-03,77000
126,126,POL-0000126-2024,MAPFRE,2024-12-13,2025-12-13,90000
127,127,POL-0000127-2025,MAPFRE,2025-02-03,2026-02-03,33000
128,128,POL-0000128-2025,Aviva,2025-02-09,2026-02-09,47000
129,129,POL-0000129-2024,Liberty Mutual,2024-12-16,2025-12-16,46000
130,130,POL-0000130-2024,Geico,2024-12-27,2025-12-27,98000
131,131,POL-0000131-2025,Progressive,2025-04-01,2026-04-01,25000
132,132,POL-0000132-2025,Progressive,2025-02-21,2026-02-21,26000
133,133,POL-0000133-2024,Allianz,2024-12-20,2025-12-20,64000
134,134,POL-0000134-2025,StateFarm,2025-02-18,2026-02-18,89000
135,135,POL-0000135-2025,Zurich,2025-03-10,2026-03-10,85000
136,136,POL-0000136-2025,Progressive,2025-02-06,2026-02-06,47000
137,137,POL-0000137-2025,Aviva,2025-04-24,2026-04-24,59000
138,138,POL-0000138-2025,Geico,2025-01-17,2026-01-17,56000
139,139,POL-0000139-2025,Progressive,2025-06-27,2026-06-27,62000
140,140,POL-0000140-2025,MAPFRE,2025-03-18,2026-03-18,62000
141,141,POL-0000141-2025,StateFarm,2025-02-16,2026-02-16,85000
142,142,POL-0000142-2025,Liberty Mutual,2025-05-08,2026-05-08,29000
143,143,POL-0000143-2025,MAPFRE,2025-05-18,2026-05-18,53000
144,144,POL-0000144-2025,MAPFRE,2025-02-05,2026-02-05,41000
145,145,POL-0000145-2024,MAPFRE,2024-12-21,2025-12-21,37000
146,146,POL-0000146-2024,MAPFRE,2024-12-23,2025-12-23,53000
147,147,POL-0000147-2025,StateFarm,2025-02-05,2026-02-05,71000
148,148,POL-0000148-2024,Zurich,2024-12-14,2025-12-14,67000
149,149,POL-0000149-2025,Generali,2025-02-01,2026-02-01,71000
150,150,POL-0000150-2025,Zurich,2025-04-23,2026-04-23,91000
151,151,POL-0000151-2025,StateFarm,2025-03-28,2026-03-28,96000
152,152,POL-0000152-2025,StateFarm,2025-04-29,2026-04-29,86000
153,153,POL-0000153-2025,Zurich,2025-05-24,2026-05-24,92000
154,154,POL-0000154-2025,StateFarm,2025-02-23,2026-02-23,21000
155,155,POL-0000155-2025,AXA,2025-06-09,2026-06-09,75000
156,156,POL-0000156-2025,Geico,2025-03-14,2026-03-14,39000
157,157,POL-0000157-2025,Generali,2025-06-14,2026-06-14,82000
158,158,POL-0000158-2024,MAPFRE,2024-12-12,2025-12-12,84000
159,159,POL-0000159-2025,Generali,2025-04-01,2026-04-01,23000
160,160,POL-0000160-2025,Zurich,2025-03-07,2026-03-07,56000
161,161,POL-0000161-2024,StateFarm,2024-12-16,2025-12-16,70000
162,162,POL-0000162-2024,Progressive,2024-12-13,2025-12-13,79000
163,163,POL-0000163-2024,Zurich,2024-12-18,2025-12-18,76000
164,164,POL-0000164-2025,StateFarm,2025-01-05,2026-01-05,96000
165,165,POL-0000165-2025,Liberty Mutual,2025-03-31,2026-03-31,79000
166,166,POL-0000166-2025,StateFarm,2025-05-26,2026-05-26,24000
167,167,POL-0000167-2025,Aviva,2025-04-09,2026-04-09,86000
168,168,POL-0000168-2025,Aviva,2025-01-22,2026-01-22,99000
169,169,POL-0000169-2025,Progressive,2025-06-22,2026-06-22,78000
170,170,POL-0000170-2025,StateFarm,2025-01-01,2026-01-01,87000
171,171,POL-0000171-2025,Progressive,2025-03-29,2026-03-29,46000
172,172,POL-0000172-2024,Generali,2024-12-11,2025-12-11,83000
173,173,POL-0000173-2025,StateFarm,2025-02-19,2026-02-19,65000
174,174,POL-0000174-2025,Allianz,2025-03-10,2026-03-10,35000
175,175,POL-0000175-2025,Progressive,2025-03-08,2026-03-08,83000
176,176,POL-0000176-2025,AXA,2025-04-24,2026-04-24,36000
177,177,POL-0000177-2025,Geico,2025-02-05,2026-02-05,62000
178,178,POL-0000178-2025,Allianz,2025-03-17,2026-03-17,59000
179,179,POL-0000179-2025,StateFarm,2025-06-05,2026-06-05,40000
180,180,POL-0000180-2025,Zurich,2025-02-16,2026-02-16,41000
181,181,POL-0000181-2025,Progressive,2025-05-13,2026-05-13,28000
182,182,POL-0000182-2025,Geico,2025-04-17,2026-04-17,59000
183,183,POL-0000183-2025,Progressive,2025-05-14,2026-05-14,64000
184,184,POL-0000184-2025,Liberty Mutual,2025-04-19,2026-04-19,69000
185,185,POL-0000185-2025,Allianz,2025-01-08,2026-01-08,88000
186,186,POL-0000186-2025,Allianz,2025-05-12,2026-05-12,93000
187,187,POL-0000187-2024,AXA,2024-12-16,2025-12-16,96000
188,188,POL-0000188-2025,Allianz,2025-03-05,2026-03-05,52000
189,189,POL-0000189-2025,Progressive,2025-05-19,2026-05-19,32000
190,190,POL-0000190-2025,StateFarm,2025-01-10,2026-01-10,69000
191,191,POL-0000191-2025,Geico,2025-03-31,2026-03-31,46000
192,192,POL-0000192-2025,Aviva,2025-02-20,2026-02-20,42000
193,193,POL-0000193-2025,Generali,2025-06-26,2026-06-26,40000
194,194,POL-0000194-2025,MAPFRE,2025-06-01,2026-06-01,88000
195,195,POL-0000195-2025,AXA,2025-02-28,2026-02-28,77000
196,196,POL-0000196-2025,StateFarm,2025-05-14,2026-05-14,22000
197,197,POL-0000197-2025,Generali,2025-05-21,2026-05-21,96000
198,198,POL-0000198-2024,Generali,2024-12-17,2025-12-17,21000
199,199,POL-0000199-2025,Generali,2025-01-28,2026-01-28,44000
200,200,POL-0000200-2025,Aviva,2025-01-26,2026-01-26,93000
201,201,POL-0000201-2025,Generali,2025-05-04,2026-05-04,23000
202,202,POL-0000202-2025,StateFarm,2025-03-15,2026-03-15,88000
203,203,POL-0000203-2025,Liberty Mutual,2025-06-05,2026-06-05,29000
204,204,POL-0000204-2025,AXA,2025-04-09,2026-04-09,85000
205,205,POL-0000205-2025,MAPFRE,2025-02-26,2026-02-26,85000
206,206,POL-0000206-2025,Progressive,2025-01-09,2026-01-09,58000
207,207,POL-0000207-2025,MAPFRE,2025-01-31,2026-01-31,69000
208,208,POL-0000208-2025,Generali,2025-04-22,2026-04-22,82000
209,209,POL-0000209-2024,Aviva,2024-12-13,2025-12-13,84000
210,210,POL-0000210-2025,Aviva,2025-02-25,2026-02-25,44000
211,211,POL-0000211-2025,Allianz,2025-03-07,2026-03-07,24000
212,212,POL-0000212-2025,Geico,2025-04-12,2026-04-12,49000
213,213,POL-0000213-2024,MAPFRE,2024-12-13,2025-12-13,36000
214,214,POL-0000214-2025,StateFarm,2025-06-27,2026-06-27,64000
215,215,POL-0000215-2025,MAPFRE,2025-05-31,2026-05-31,85000
216,216,POL-0000216-2025,StateFarm,2025-06-12,2026-06-12,89000
217,217,POL-0000217-2025,StateFarm,2025-06-21,2026-06-21,57000
218,218,POL-0000218-2025,Progressive,2025-02-14,2026-02-14,46000
219,219,POL-0000219-2024,AXA,2024-12-20,2025-12-20,32000
220,220,POL-0000220-2025,Progressive,2025-03-02,2026-03-02,80000
221,221,POL-0000221-2024,AXA,2024-12-18,2025-12-18,25000
222,222,POL-0000222-2025,Aviva,2025-06-11,2026-06-11,54000
223,223,POL-0000223-2025,Progressive,2025-01-09,2026-01-09,50000
224,224,POL-0000224-2025,AXA,2025-05-16,2026-05-16,98000
225,225,POL-0000225-2025,Progressive,2025-01-11,2026-01-11,70000
226,226,POL-0000226-2025,StateFarm,2025-05-07,2026-05-07,42000
227,227,POL-0000227-2025,Progressive,2025-02-05,2026-02-05,49000
228,228,POL-0000228-2025,AXA,2025-06-05,2026-06-05,87000
229,229,POL-0000229-2025,Aviva,2025-05-03,2026-05-03,35000
230,230,POL-0000230-2025,Progressive,2025-03-31,2026-03-31,85000
231,231,POL-0000231-2025,Progressive,2025-05-12,2026-05-12,34000
232,232,POL-0000232-2025,Allianz,2025-02-28,2026-02-28,45000
233,233,POL-0000233-2025,Liberty Mutual,2025-03-31,2026-03-31,29000
234,234,POL-0000234-2025,AXA,2025-04-10,2026-04-10,96000
235,235,POL-0000235-2024,StateFarm,2024-12-30,2025-12-30,61000
236,236,POL-0000236-2025,Allianz,2025-04-02,2026-04-02,92000
237,237,POL-0000237-2025,StateFarm,2025-02-11,2026-02-11,83000
238,238,POL-0000238-2025,AXA,2025-03-25,2026-03-25,97000
239,239,POL-0000239-2025,Zurich,2025-06-24,2026-06-24,27000
240,240,POL-0000240-2025,Geico,2025-03-18,2026-03-18,81000
241,241,POL-0000241-2025,Generali,2025-06-16,2026-06-16,98000
242,242,POL-0000242-2025,Aviva,2025-06-11,2026-06-11,94000
243,243,POL-0000243-2025,Liberty Mutual,2025-06-16,2026-06-16,88000
244,244,POL-0000244-2025,Zurich,2025-05-13,2026-05-13,36000
245,245,POL-0000245-2025,Zurich,2025-04-06,2026-04-06,43000
246,246,POL-0000246-2025,Liberty Mutual,2025-04-21,2026-04-21,78000
247,247,POL-0000247-2025,Allianz,2025-06-02,2026-06-02,46000
248,248,POL-0000248-2025,Allianz,2025-01-28,2026-01-28,36000
249,249,POL-0000249-2025,Zurich,2025-03-12,2026-03-12,38000
250,250,POL-0000250-2025,Geico,2025-01-02,2026-01-02,66000
251,251,POL-0000251-2025,StateFarm,2025-01-25,2026-01-25,89000
252,252,POL-0000252-2025,AXA,2025-06-01,2026-06-01,91000
253,253,POL-0000253-2024,Zurich,2024-12-27,2025-12-27,21000
254,254,POL-0000254-2025,StateFarm,2025-01-16,2026-01-16,80000
255,255,POL-0000255-2025,Allianz,2025-03-24,2026-03-24,45000
256,256,POL-0000256-2025,Liberty Mutual,2025-03-13,2026-03-13,90000
257,257,POL-0000257-2025,Zurich,2025-02-22,2026-02-22,92000
258,258,POL-0000258-2025,Aviva,2025-04-29,2026-04-29,93000
259,259,POL-0000259-2024,MAPFRE,2024-12-26,2025-12-26,87000
260,260,POL-0000260-2024,MAPFRE,2024-12-18,2025-12-18,87000
261,261,POL-0000261-2025,Aviva,2025-05-23,2026-05-23,52000
262,262,POL-0000262-2025,Geico,2025-05-08,2026-05-08,55000
263,263,POL-0000263-2025,AXA,2025-01-27,2026-01-27,26000
264,264,POL-0000264-2025,Aviva,2025-02-12,2026-02-12,72000
265,265,POL-0000265-2025,Progressive,2025-03-23,2026-03-23,57000
266,266,POL-0000266-2025,Progressive,2025-02-26,2026-02-26,38000
267,267,POL-0000267-2024,Allianz,2024-12-28,2025-12-28,78000
268,268,POL-0000268-2025,Liberty Mutual,2025-04-07,2026-04-07,85000
269,269,POL-0000269-2025,AXA,2025-05-18,2026-05-18,45000
270,270,POL-0000270-2025,MAPFRE,2025-01-16,2026-01-16,88000
271,271,POL-0000271-2025,Geico,2025-05-15,2026-05-15,36000
272,272,POL-0000272-2025,Progressive,2025-05-05,2026-05-05,45000
273,273,POL-0000273-2025,Geico,2025-05-28,2026-05-28,73000
274,274,POL-0000274-2025,MAPFRE,2025-02-04,2026-02-04,65000
275,275,POL-0000275-2025,Generali,2025-04-14,2026-04-14,38000
276,276,POL-0000276-2025,Liberty Mutual,2025-05-09,2026-05-09,49000
277,277,POL-0000277-2025,Generali,2025-01-31,2026-01-31,82000
278,278,POL-0000278-2025,Allianz,2025-05-20,2026-05-20,36000
279,279,POL-0000279-2025,Allianz,2025-05-02,2026-05-02,45000
280,280,POL-0000280-2025,StateFarm,2025-04-06,2026-04-06,61000
281,281,POL-0000281-2025,Generali,2025-06-16,2026-06-16,20000
282,282,POL-0000282-2025,Zurich,2025-06-07,2026-06-07,59000
283,283,POL-0000283-2025,Allianz,2025-03-14,2026-03-14,69000
284,284,POL-0000284-2025,Aviva,2025-05-10,2026-05-10,94000
285,285,POL-0000285-2025,Liberty Mutual,2025-06-19,2026-06-19,35000
286,286,POL-0000286-2025,Progressive,2025-06-19,2026-06-19,45000
287,287,POL-0000287-2025,Geico,2025-05-03,2026-05-03,44000
288,288,POL-0000288-2025,MAPFRE,2025-06-22,2026-06-22,56000
289,289,POL-0000289-2024,StateFarm,2024-12-26,2025-12-26,76000
290,290,POL-0000290-2024,MAPFRE,2024-12-22,2025-12-22,76000
291,291,POL-0000291-2025,AXA,2025-02-03,2026-02-03,79000
292,292,POL-0000292-2025,StateFarm,2025-05-05,2026-05-05,47000
293,293,POL-0000293-2025,AXA,2025-05-01,2026-05-01,43000
294,294,POL-0000294-2025,Progressive,2025-02-04,2026-02-04,91000
295,295,POL-0000295-2025,AXA,2025-02-25,2026-02-25,96000
296,296,POL-0000296-2025,StateFarm,2025-04-16,2026-04-16,41000
297,297,POL-0000297-2025,StateFarm,2025-05-06,2026-05-06,86000
298,298,POL-0000298-2024,Allianz,2024-12-11,2025-12-11,58000
299,299,POL-0000299-2025,Geico,2025-03-10,2026-03-10,70000
300,300,POL-0000300-2025,Allianz,2025-04-05,2026-04-05,93000
301,301,POL-0000301-2025,Generali,2025-03-21,2026-03-21,23000
302,302,POL-0000302-2025,MAPFRE,2025-05-18,2026-05-18,38000
303,303,POL-0000303-2025,Liberty Mutual,2025-01-30,2026-01-30,24000
304,304,POL-0000304-2025,AXA,2025-05-19,2026-05-19,77000
305,305,POL-0000305-2024,Progressive,2024-12-29,2025-12-29,31000
306,306,POL-0000306-2025,Allianz,2025-01-02,2026-01-02,42000
307,307,POL-0000307-2025,Geico,2025-03-13,2026-03-13,44000
308,308,POL-0000308-2024,StateFarm,2024-12-21,2025-12-21,70000
309,309,POL-0000309-2025,Geico,2025-03-13,2026-03-13,65000
310,310,POL-0000310-2025,Progressive,2025-04-25,2026-04-25,77000
311,311,POL-0000311-2025,Progressive,2025-02-27,2026-02-27,55000
312,312,POL-0000312-2025,StateFarm,2025-01-20,2026-01-20,54000
313,313,POL-0000313-2025,AXA,2025-03-14,2026-03-14,32000
314,314,POL-0000314-2025,AXA,2025-01-31,2026-01-31,59000
315,315,POL-0000315-2025,Allianz,2025-06-24,2026-06-24,43000
316,316,POL-0000316-2025,Allianz,2025-02-10,2026-02-10,66000
317,317,POL-0000317-2025,Generali,2025-04-03,2026-04-03,62000
318,318,POL-0000318-2025,Zurich,2025-03-01,2026-03-01,43000
319,319,POL-0000319-2025,Progressive,2025-03-08,2026-03-08,62000
320,320,POL-0000320-2025,Aviva,2025-05-20,2026-05-20,32000
321,321,POL-0000321-2025,Generali,2025-02-24,2026-02-24,30000
322,322,POL-0000322-2025,Progressive,2025-04-25,2026-04-25,96000
323,323,POL-0000323-2025,Zurich,2025-06-15,2026-06-15,75000
324,324,POL-0000324-2025,Liberty Mutual,2025-04-19,2026-04-19,43000
325,325,POL-0000325-2025,MAPFRE,2025-01-23,2026-01-23,61000
326,326,POL-0000326-2025,Geico,2025-04-16,2026-04-16,38000
327,327,POL-0000327-2025,Geico,2025-06-25,2026-06-25,38000
328,328,POL-0000328-2025,Generali,2025-06-04,2026-06-04,42000
329,329,POL-0000329-2025,Geico,2025-03-30,2026-03-30,58000
330,330,POL-0000330-2025,Zurich,2025-02-21,2026-02-21,84000
331,331,POL-0000331-2025,Progressive,2025-03-13,2026-03-13,64000
332,332,POL-0000332-2025,Aviva,2025-02-14,2026-02-14,75000
333,333,POL-0000333-2025,Liberty Mutual,2025-05-15,2026-05-15,89000
334,334,POL-0000334-2025,AXA,2025-05-19,2026-05-19,95000
335,335,POL-0000335-2025,Liberty Mutual,2025-04-04,2026-04-04,84000
336,336,POL-0000336-2025,Generali,2025-04-07,2026-04-07,91000
337,337,POL-0000337-2025,Liberty Mutual,2025-03-30,2026-03-30,23000
338,338,POL-0000338-2025,StateFarm,2025-01-06,2026-01-06,38000
339,339,POL-0000339-2025,StateFarm,2025-04-18,2026-04-18,45000
340,340,POL-0000340-2025,Generali,2025-04-15,2026-04-15,93000
341,341,POL-0000341-2025,Liberty Mutual,2025-05-01,2026-05-01,64000
342,342,POL-0000342-2025,Aviva,2025-04-30,2026-04-30,93000
343,343,POL-0000343-2025,Progressive,2025-05-21,2026-05-21,55000
344,344,POL-0000344-2025,Liberty Mutual,2025-03-17,2026-03-17,35000
345,345,POL-0000345-2025,AXA,2025-06-05,2026-06-05,70000
346,346,POL-0000346-2025,AXA,2025-04-05,2026-04-05,38000
347,347,POL-0000347-2025,Liberty Mutual,2025-03-22,2026-03-22,88000
348,348,POL-0000348-2025,MAPFRE,2025-02-18,2026-02-18,33000
349,349,POL-0000349-2025,Zurich,2025-02-11,2026-02-11,50000
350,350,POL-0000350-2025,StateFarm,2025-03-08,2026-03-08,80000
351,351,POL-0000351-2025,Aviva,2025-03-04,2026-03-04,83000
352,352,POL-0000352-2025,Liberty Mutual,2025-01-03,2026-01-03,70000
353,353,POL-0000353-2025,AXA,2025-06-10,2026-06-10,39000
354,354,POL-0000354-2025,Aviva,2025-06-14,2026-06-14,39000
355,355,POL-0000355-2025,Zurich,2025-01-30,2026-01-30,29000
356,356,POL-0000356-2025,Allianz,2025-05-11,2026-05-11,64000
357,357,POL-0000357-2025,Zurich,2025-03-10,2026-03-10,51000
358,358,POL-0000358-2024,AXA,2024-12-27,2025-12-27,47000
359,359,POL-0000359-2025,Geico,2025-02-05,2026-02-05,59000
360,360,POL-0000360-2025,StateFarm,2025-05-24,2026-05-24,27000
361,361,POL-0000361-2025,Zurich,2025-05-09,2026-05-09,59000
362,362,POL-0000362-2025,StateFarm,2025-01-22,2026-01-22,50000
363,363,POL-0000363-2024,StateFarm,2024-12-12,2025-12-12,58000
364,364,POL-0000364-2025,MAPFRE,2025-01-06,2026-01-06,42000
365,365,POL-0000365-2025,Progressive,2025-03-19,2026-03-19,68000
366,366,POL-0000366-2025,StateFarm,2025-04-24,2026-04-24,47000
367,367,POL-0000367-2025,Allianz,2025-01-28,2026-01-28,87000
368,368,POL-0000368-2024,Zurich,2024-12-20,2025-12-20,47000
369,369,POL-0000369-2025,Generali,2025-02-09,2026-02-09,58000
370,370,POL-0000370-2025,Liberty Mutual,2025-03-17,2026-03-17,50000
371,371,POL-0000371-2025,Allianz,2025-05-17,2026-05-17,84000
372,372,POL-0000372-2025,AXA,2025-06-25,2026-06-25,71000
373,373,POL-0000373-2025,Liberty Mutual,2025-04-17,2026-04-17,81000
374,374,POL-0000374-2025,Aviva,2025-02-21,2026-02-21,34000
375,375,POL-0000375-2025,Zurich,2025-03-23,2026-03-23,60000
376,376,POL-0000376-2025,Geico,2025-06-11,2026-06-11,25000
377,377,POL-0000377-2025,MAPFRE,2025-04-25,2026-04-25,80000
378,378,POL-0000378-2025,Progressive,2025-01-04,2026-01-04,36000
379,379,POL-0000379-2025,Aviva,2025-03-03,2026-03-03,50000
380,380,POL-0000380-2025,Zurich,2025-05-02,2026-05-02,34000
381,381,POL-0000381-2025,StateFarm,2025-06-13,2026-06-13,62000
